1,2,3,4,5,6,7,8,9,10,Europalette,Gitterbox,Karton_groß,Karton_klein
100,60,70,10,10,100,60,10,0,80,4,0,16,16
20,60,60,80,80,90,70,60,30,100,5,1,20,20
0,20,30,10,20,80,10,90,80,20,2,0,7,16
50,80,90,20,90,30,70,80,0,100,5,1,12,26
0,90,70,10,100,30,20,0,70,20,2,1,6,14
50,100,60,50,40,40,0,80,20,40,2,0,12,20
10,100,20,100,100,70,100,50,70,90,6,2,12,10
0,40,0,60,90,10,30,90,0,0,0,1,7,8
90,10,60,70,40,80,90,30,10,0,0,0,20,15
20,50,20,40,50,0,60,80,30,20,1,0,13,14
60,40,90,60,60,0,40,50,0,60,3,0,13,23
50,20,40,20,90,60,60,40,30,70,4,1,14,12
50,20,0,70,40,90,80,0,60,10,2,0,18,0
10,0,20,70,30,100,70,80,20,100,5,0,18,13
0,60,40,50,30,30,10,40,40,30,2,0,13,12
50,80,50,40,70,90,40,50,30,30,2,1,18,15
0,30,60,20,100,70,60,0,50,20,1,1,16,12
30,80,20,50,10,20,10,60,20,50,3,0,9,14
100,30,100,30,60,50,50,10,20,20,1,0,20,21
50,80,70,80,100,30,10,90,100,90,6,1,10,22
50,40,90,10,0,90,60,20,70,100,6,0,13,20
50,20,10,10,10,70,70,90,40,0,0,0,17,11
10,0,20,0,10,60,100,60,40,90,5,0,13,12
90,0,100,40,80,100,80,30,90,70,5,1,14,23
20,70,0,40,60,30,20,30,0,70,4,0,10,5
0,50,10,40,10,0,80,20,10,30,2,0,9,5
50,40,70,80,30,10,20,90,50,60,3,0,14,22
30,80,50,80,50,0,0,80,60,20,2,0,8,21
90,20,70,30,20,20,60,40,30,90,5,0,14,20
20,20,80,100,90,90,10,30,10,90,5,2,8,21
70,10,20,100,70,30,40,80,70,0,1,2,9,12
60,70,30,10,60,70,30,40,20,60,3,0,15,10
100,70,0,0,100,80,80,70,50,40,2,1,19,7
60,0,0,50,40,0,60,90,70,20,2,0,11,8
20,90,50,60,20,90,80,80,40,20,1,0,19,22
90,20,30,80,10,50,40,90,20,50,3,0,17,15
90,50,70,10,80,70,0,0,80,20,2,1,8,14
0,100,60,20,30,30,70,90,40,30,2,0,16,20
0,60,70,50,30,50,50,10,40,100,5,0,19,15
80,90,20,30,30,20,90,10,10,20,1,0,15,5
50,50,60,30,70,100,100,100,70,80,5,1,15,21
10,50,30,70,70,70,90,90,100,70,5,1,15,15
90,80,20,0,50,90,10,0,50,20,1,0,17,4
40,100,10,50,0,50,90,70,70,50,4,0,15,9
40,30,100,90,30,0,30,0,20,90,5,1,7,20
100,90,50,90,50,50,30,100,30,40,2,1,15,19
60,70,20,70,70,80,40,10,40,30,2,1,20,5
40,90,90,50,20,0,90,50,50,100,5,0,17,25
100,60,70,10,40,80,90,80,0,0,0,0,18,22
50,30,20,30,100,30,90,100,90,100,6,1,12,13
70,100,20,70,0,40,100,10,70,40,3,0,15,5
40,0,40,70,60,20,30,80,10,90,5,0,12,16
60,60,90,0,70,70,20,70,60,60,4,1,8,25
0,70,50,50,50,50,40,60,80,90,6,0,15,16
70,40,20,70,80,70,0,50,100,100,6,1,10,9
100,30,100,50,50,40,20,40,60,50,4,0,12,24
80,80,30,50,50,30,30,50,70,10,2,0,13,11
70,60,20,40,20,30,20,80,40,60,3,0,12,14
70,90,70,10,40,80,80,20,40,10,1,0,19,16
90,20,0,70,0,50,50,50,10,80,4,0,17,5
90,0,40,50,90,10,100,90,20,90,5,1,14,16
30,80,0,100,10,20,0,20,30,50,3,1,6,6
30,0,100,100,30,0,70,30,80,40,3,1,7,26
80,60,40,10,40,20,50,60,50,0,0,0,19,14
60,60,100,40,100,20,50,40,100,0,1,1,12,24
60,30,100,40,20,20,0,100,40,100,5,0,9,31
90,10,20,60,70,30,70,90,90,0,1,1,14,12
40,70,20,40,100,70,0,60,20,80,4,1,11,10
10,20,0,10,10,30,90,60,10,20,1,0,11,8
10,20,100,60,70,30,20,30,90,30,3,1,7,24
90,0,10,50,100,60,0,0,0,30,2,1,8,2
60,10,20,20,50,20,10,20,10,0,0,0,8,6
0,0,30,20,0,100,70,10,60,30,3,0,12,7
30,20,100,60,60,30,40,30,40,0,0,0,18,26
20,10,0,50,100,20,0,60,40,60,3,1,9,8
20,60,100,30,80,20,20,0,30,100,5,1,9,22
80,90,90,30,10,60,20,0,100,40,3,0,10,19
90,50,70,10,50,30,70,30,30,50,3,0,17,17
20,80,0,30,40,100,0,90,10,100,5,0,12,10
60,10,20,60,0,20,10,20,50,90,5,0,12,6
50,90,0,70,80,10,0,80,10,90,5,1,9,8
40,10,100,20,80,60,10,60,40,70,4,1,11,26
10,30,40,50,40,100,70,40,0,90,5,0,17,13
90,60,20,30,100,20,10,80,70,70,5,1,8,12
30,10,60,100,40,0,80,60,100,20,2,1,8,21
90,40,10,30,20,90,80,60,90,90,6,0,15,10
10,90,90,10,0,20,30,70,0,40,2,0,6,26
60,80,70,50,0,100,30,10,60,30,3,0,13,15
0,100,50,40,80,90,50,80,80,30,3,1,15,18
50,20,10,100,30,90,60,70,40,70,4,1,17,9
20,40,70,0,20,50,20,90,50,60,3,0,10,26
100,80,60,100,0,20,70,70,70,100,6,1,12,19
80,0,60,100,30,30,50,10,80,50,4,1,11,13
10,100,90,10,80,100,40,30,70,90,6,1,13,22
100,60,70,60,100,90,0,50,10,70,4,1,14,19
20,80,10,60,0,40,40,10,0,30,2,0,12,5
100,100,80,20,20,50,80,60,0,100,5,0,14,24
10,10,40,0,80,10,10,70,30,70,4,1,6,16
30,60,50,40,10,70,70,90,50,10,1,0,19,22
100,60,60,40,40,10,50,10,50,30,2,0,21,13
70,70,30,100,50,90,0,20,10,80,4,1,11,8
60,50,10,10,70,70,70,40,10,50,3,1,14,6
100,40,40,20,50,50,80,50,40,10,1,0,19,13
90,0,80,70,30,100,70,30,70,10,2,0,18,19
90,100,100,10,0,20,20,30,40,90,5,0,11,23
10,10,40,50,60,30,60,60,30,50,3,0,17,15
40,90,70,10,10,50,30,30,50,40,2,0,14,18
50,60,20,40,70,20,100,80,100,0,1,1,12,12
10,40,90,30,40,60,20,0,0,70,4,0,9,19
30,100,20,80,50,20,100,70,10,10,1,0,16,14
10,70,80,100,10,0,20,80,80,70,5,1,3,26
70,40,70,70,70,30,20,40,100,80,5,1,9,18
100,0,20,90,70,40,30,90,40,100,5,2,11,12
60,10,10,0,0,80,80,0,60,40,3,0,11,2
90,20,20,100,60,10,20,50,40,0,0,1,12,9
10,100,30,30,70,50,90,80,80,60,4,1,13,15
20,10,90,40,0,90,20,10,10,50,3,0,10,21
90,20,30,0,50,100,30,20,30,10,1,0,15,8
10,40,100,50,100,70,40,100,80,10,2,1,13,30
10,40,50,60,80,60,20,70,90,20,2,1,8,18
70,50,60,10,80,100,0,90,0,50,3,1,8,20
70,50,10,40,90,80,90,40,0,80,4,1,14,6
90,30,20,20,0,10,70,40,0,80,4,0,11,8
30,60,70,20,10,100,10,50,100,90,6,0,9,23
70,20,20,90,0,100,70,50,30,0,0,1,16,9
20,50,0,50,70,10,60,20,20,40,2,1,12,4
90,100,50,100,50,80,30,40,60,10,2,1,12,14
40,80,70,10,100,0,0,10,20,100,5,1,6,15
40,20,30,100,50,80,80,20,60,60,4,1,13,8
60,40,10,10,60,50,100,30,20,10,1,0,17,5
10,90,40,0,10,0,90,30,40,20,1,0,12,13
30,10,100,30,100,50,10,30,90,100,6,1,7,26
10,70,20,70,0,40,80,80,50,90,5,0,18,13
60,30,40,100,80,90,0,80,30,70,4,2,10,16
30,60,60,0,30,100,0,60,100,50,4,0,8,21
100,0,30,70,10,80,50,100,90,100,6,0,17,16
40,50,80,10,10,80,30,0,80,40,3,0,9,17
70,90,10,50,10,30,100,10,90,20,2,0,14,4
50,20,60,80,50,50,70,40,100,80,5,0,17,16
80,100,20,50,50,60,0,30,80,20,2,0,12,7
90,30,30,80,10,0,100,60,20,10,1,0,15,13
70,30,90,30,10,90,10,30,40,100,5,0,14,22
60,30,0,0,100,40,70,30,40,80,4,1,14,3
20,10,100,60,90,90,90,10,40,80,4,1,19,23
20,50,10,100,40,20,50,70,10,10,1,1,11,11
20,100,100,90,90,20,70,30,50,50,3,2,14,25
80,0,100,30,0,20,70,100,80,0,1,0,11,29
100,0,50,90,60,20,0,80,30,20,1,1,10,18
80,0,80,10,100,90,100,60,50,10,1,1,19,22
50,20,90,0,90,60,80,30,90,10,2,1,10,21
20,80,50,0,10,80,90,10,80,40,3,0,12,14
50,60,80,80,70,70,30,30,70,0,1,1,13,19
0,40,10,90,70,60,10,90,80,0,1,2,5,10
60,60,30,20,20,90,20,10,50,50,3,0,15,9
10,30,50,30,10,30,50,80,50,20,1,0,16,20
50,30,50,80,100,80,50,10,80,100,6,1,16,11
20,50,0,90,90,50,70,50,0,0,0,2,10,7
30,90,20,70,100,0,70,20,90,70,5,1,12,9
100,90,90,30,0,100,30,30,60,10,2,0,14,21
40,100,30,100,40,10,70,80,100,100,6,1,12,14
90,80,40,20,70,10,0,60,50,20,1,1,11,14
0,90,90,40,60,70,30,50,100,60,4,0,13,23
30,0,20,40,70,40,50,90,70,10,2,1,10,15
100,90,100,0,30,10,0,60,10,10,1,0,8,26
80,30,80,50,70,60,80,0,10,10,1,1,15,16
90,0,0,50,10,70,90,70,80,50,4,0,15,8
50,40,100,70,60,10,70,90,50,10,1,0,21,28
30,30,90,90,40,70,0,10,30,40,2,1,10,22
30,50,70,90,90,60,60,90,90,80,5,2,9,25
40,60,40,80,20,70,20,80,10,90,5,0,13,18
30,80,40,0,30,40,20,20,80,40,3,0,6,13
100,100,100,70,100,80,30,50,60,20,2,1,15,25
0,70,90,30,0,80,40,80,70,60,4,0,13,26
50,80,0,0,0,50,80,90,20,30,2,0,13,8
40,80,80,60,90,80,90,100,100,0,1,1,16,25
20,100,20,30,80,90,70,70,70,100,6,1,15,13
10,60,0,30,0,100,70,30,60,30,3,0,15,4
100,60,80,70,100,70,0,80,70,60,4,1,13,24
0,90,0,30,30,100,90,20,30,70,4,0,19,2
30,60,50,50,60,10,50,50,70,100,6,0,15,18
10,20,80,40,70,100,70,30,70,0,1,1,14,20
40,80,90,10,30,60,90,20,40,70,4,0,18,20
90,50,0,60,0,100,50,70,80,40,3,0,17,7
80,50,60,60,20,0,80,10,60,80,5,0,11,15
0,100,60,70,60,60,100,50,60,40,3,0,18,17
70,60,100,0,70,20,30,30,60,10,2,1,6,23
0,70,50,60,30,0,30,70,40,80,4,0,12,17
30,60,0,60,100,80,50,100,0,60,3,1,15,12
10,50,80,50,40,80,60,60,20,100,5,0,17,23
20,90,30,30,30,50,60,60,30,20,1,0,16,14
90,40,0,40,10,80,40,0,0,10,1,0,14,1
40,0,70,60,90,80,90,90,80,80,5,1,14,22
20,30,70,0,0,60,50,10,100,80,5,0,10,17
40,40,60,100,20,100,80,60,60,40,3,1,12,20
20,70,0,10,10,0,100,20,50,10,1,0,14,5
100,10,80,10,0,10,80,70,70,0,1,0,11,23
80,40,20,10,40,30,20,90,0,50,3,0,9,12
100,0,50,40,40,80,40,100,30,40,2,0,19,19
90,30,60,60,90,70,40,90,80,50,4,1,15,20
30,80,40,70,100,50,50,20,60,40,3,1,15,13
30,0,10,10,90,0,40,70,50,40,2,1,11,12
60,0,100,80,60,0,70,50,50,100,5,0,19,25
80,10,80,30,40,30,90,20,50,60,3,0,20,18
60,0,0,0,20,70,100,60,20,80,4,0,13,8
50,30,70,100,80,20,10,40,40,100,5,2,8,18
40,40,90,60,10,80,0,20,0,30,2,0,9,21
100,80,10,80,70,70,60,70,10,20,1,1,19,9
90,30,80,90,30,10,40,40,80,50,4,1,10,20
100,20,20,100,80,30,20,10,0,70,4,2,7,5
100,60,80,0,60,50,40,30,40,30,2,0,20,19
10,70,90,100,70,40,60,80,20,60,3,2,11,27
20,80,80,30,0,90,40,70,60,30,3,0,14,25
0,100,0,30,70,60,80,90,20,40,2,1,14,8
50,90,20,10,30,100,100,70,80,10,2,0,16,11
70,100,100,80,20,40,90,40,30,60,3,0,18,26
70,40,90,90,0,20,50,30,20,70,4,1,11,21
90,50,90,50,60,20,100,100,20,90,5,0,18,27
60,70,60,60,50,30,100,30,70,20,2,0,16,15
90,100,100,30,80,20,50,0,40,10,1,1,17,20
80,30,70,30,80,80,50,90,60,70,5,1,15,22
50,0,80,0,90,10,20,20,100,70,5,1,3,18
60,80,40,40,50,40,20,20,20,40,2,0,12,10
70,90,40,30,80,90,70,40,40,0,0,1,20,12
80,20,50,90,100,10,70,30,50,70,4,2,15,13
40,100,20,60,0,70,100,70,90,100,6,0,16,11
40,70,0,70,30,100,80,80,70,20,2,0,18,8
60,50,40,40,90,100,30,10,10,30,2,1,12,9
40,90,20,30,10,50,80,0,20,0,0,0,15,5
10,60,90,90,0,100,70,80,10,50,3,1,14,27
70,80,60,0,50,100,40,20,90,20,2,0,15,14
80,0,90,0,70,80,60,40,70,40,3,1,11,22
30,10,10,90,90,10,30,40,90,10,2,2,4,9
80,50,50,20,100,90,80,40,80,60,4,1,14,14
30,60,30,90,10,60,20,80,90,90,6,1,6,18
0,70,30,20,80,70,100,70,50,0,0,1,18,13
10,60,80,70,40,20,60,70,50,100,5,0,19,24
90,10,70,40,100,70,70,60,80,70,5,1,15,20
60,60,30,40,90,70,60,30,100,0,1,1,14,9
60,10,100,20,20,100,100,80,60,60,4,0,14,30
100,90,60,80,70,40,90,10,70,90,6,1,17,13
90,40,100,80,60,50,100,100,0,60,3,0,19,29
20,30,50,50,40,10,70,50,30,40,2,0,16,17
50,60,60,80,40,50,70,80,40,70,4,0,22,20
60,70,30,100,80,50,50,20,60,30,3,2,12,8
10,10,50,0,60,100,30,60,60,100,6,0,11,17
10,30,30,10,30,100,30,80,90,100,6,0,10,15
10,30,20,10,50,80,30,80,0,90,5,0,10,13
100,90,0,0,10,30,80,20,0,70,4,0,12,3
10,70,60,30,60,60,40,50,100,10,2,0,15,18
20,10,10,90,20,90,20,100,40,100,5,1,11,15
10,50,80,0,10,90,30,70,0,0,0,0,8,25
50,40,90,60,40,100,40,30,40,90,5,0,21,21
20,100,10,0,60,0,0,100,100,80,5,0,5,13
10,40,50,30,20,80,60,60,40,0,0,0,16,19
40,80,50,90,20,80,50,70,40,20,1,1,17,19
30,20,10,20,50,90,40,10,60,90,6,0,14,6
10,40,30,50,70,10,10,30,60,50,4,1,6,10
10,20,20,90,70,70,20,60,0,60,3,2,6,11
10,80,10,10,90,40,20,90,80,70,5,1,6,11
20,60,20,40,80,50,0,70,0,30,2,1,7,13
40,70,50,90,70,90,70,60,20,20,1,2,16,16
40,40,70,40,30,60,100,60,100,60,4,0,14,20
50,60,0,40,70,100,20,10,10,50,3,1,12,1
10,80,10,100,10,60,100,50,80,20,2,1,11,9
50,100,60,10,30,30,70,20,40,0,0,0,17,14
60,10,10,20,90,40,90,40,30,40,2,1,14,6
0,90,50,10,60,30,90,30,90,10,2,0,14,13
60,60,0,70,10,70,20,50,90,70,5,0,12,6
50,100,20,10,60,70,40,80,10,90,5,0,17,12
20,50,70,0,90,80,50,0,90,30,3,1,11,16
90,40,60,100,10,50,100,0,90,20,2,1,12,13
70,80,30,70,80,40,50,30,70,90,6,1,15,9
10,90,70,50,10,60,0,60,0,10,1,0,8,22
60,0,90,60,10,80,90,80,70,0,1,0,14,27
60,40,60,40,30,30,40,40,20,60,3,0,14,16
40,100,90,10,90,70,0,0,50,40,2,1,13,18
60,40,20,20,70,80,60,90,0,0,0,1,12,12
100,60,100,70,50,0,20,70,30,80,4,0,15,27
100,80,10,40,20,20,70,40,40,100,5,0,18,8
70,40,70,100,30,40,100,100,100,10,2,1,11,23
0,70,90,0,30,70,80,100,40,100,5,0,16,27
0,80,0,0,40,50,20,90,70,10,2,0,8,8
70,10,80,60,40,40,50,0,60,50,4,0,15,16
80,40,40,10,30,20,70,10,90,30,3,0,12,9
30,30,0,30,70,40,60,90,20,100,5,1,12,11
30,0,30,90,70,10,60,0,20,0,0,2,8,9
100,90,100,10,0,60,50,70,30,80,4,0,18,27
40,30,20,50,40,60,70,100,10,30,2,0,17,13
40,80,50,10,30,20,30,20,30,100,5,0,11,12
100,20,100,10,30,0,0,50,10,50,3,0,7,25
0,100,60,60,80,20,80,80,30,100,5,1,14,20
60,80,10,40,0,40,0,50,70,20,2,0,7,7
80,50,20,70,40,40,60,60,90,0,1,0,16,10
10,80,10,30,80,50,0,20,100,20,2,1,7,5
20,30,90,30,90,30,50,20,40,50,3,1,15,22
70,80,70,60,70,10,70,10,10,50,3,1,14,15
0,80,60,90,30,0,60,40,30,0,0,1,11,16
10,0,100,70,70,100,30,80,20,0,0,1,13,29
100,50,60,90,100,50,30,80,10,0,0,2,10,20
60,60,10,40,70,70,20,60,30,10,1,1,13,8
80,30,30,40,0,40,90,70,60,90,6,0,13,13
90,70,10,100,30,80,40,20,90,70,5,1,14,4
10,10,20,30,0,10,50,70,40,50,3,0,14,12
60,60,50,50,40,100,70,90,30,80,4,0,22,18
70,70,90,0,100,40,30,0,100,90,6,1,7,18
100,90,0,40,10,50,0,40,100,70,5,0,10,5
0,40,30,20,0,60,80,90,30,90,5,0,13,14
20,0,60,100,40,70,70,70,60,20,2,1,12,21
100,60,100,80,20,0,60,20,80,40,3,0,14,24
30,70,70,70,10,80,80,90,100,10,2,0,15,26
30,0,80,80,90,40,100,60,90,100,6,1,12,25
100,10,10,30,0,90,60,90,0,90,5,0,16,10
0,10,40,10,60,100,20,80,0,10,1,0,11,16
10,10,20,50,100,20,60,30,10,30,2,1,11,8
0,100,60,0,90,20,20,100,0,60,3,1,4,21
70,80,30,40,20,50,30,40,40,80,4,0,14,12
10,60,0,80,100,40,70,100,40,0,0,1,18,10
70,30,80,50,40,10,0,30,50,80,4,0,13,19
30,0,70,40,60,80,10,60,60,10,2,0,10,23
90,20,20,0,80,30,10,50,30,0,0,1,9,9
80,100,80,70,0,30,20,60,30,100,5,0,14,22
40,60,50,0,90,70,90,20,20,30,2,1,15,12
70,80,90,80,80,0,40,60,30,90,5,1,15,24
30,70,20,90,40,20,10,30,10,100,5,1,7,10
50,30,50,10,80,40,100,10,70,60,4,1,11,11
40,20,80,0,30,60,70,70,20,20,1,0,14,23
10,100,80,20,10,0,20,100,90,50,4,0,4,27
90,0,70,80,80,60,60,20,30,20,1,1,17,16
10,50,50,80,70,0,60,40,0,10,1,1,10,15
70,20,40,100,50,50,40,30,50,30,2,1,17,11
60,50,60,40,10,50,70,30,20,10,1,0,15,16
100,10,60,70,60,70,10,40,90,60,4,0,16,16
30,80,90,100,50,80,20,100,80,50,4,1,9,30
50,20,50,80,100,50,60,20,50,0,0,1,19,12
80,80,100,80,70,70,40,10,100,70,5,1,17,21
80,70,10,100,30,70,100,100,70,40,3,1,15,11
60,70,40,20,50,50,90,50,100,60,4,0,15,13
90,20,90,70,80,100,30,10,10,80,4,1,15,19
10,100,90,60,80,70,90,40,60,0,1,1,15,23
60,100,30,100,50,50,70,60,90,0,1,1,14,12
60,20,70,20,80,90,20,60,80,10,2,1,9,20
10,50,40,50,20,70,100,0,20,30,2,0,16,11
90,0,20,70,70,40,90,100,50,30,2,1,19,13
80,90,0,50,30,50,20,60,30,60,3,0,15,6
80,30,20,0,60,20,40,70,30,40,2,0,15,11
100,40,50,80,70,70,40,80,20,50,3,1,19,18
90,50,100,30,10,100,80,10,60,90,6,0,15,22
30,60,20,90,20,10,0,20,60,30,3,1,3,11
100,0,0,60,10,30,50,60,70,100,6,0,14,7
0,50,10,80,50,60,70,40,60,30,3,0,16,6
70,0,40,80,70,40,30,70,10,40,2,1,10,15
100,0,80,10,20,100,0,10,80,70,5,0,9,19
0,70,30,90,50,60,50,60,0,90,5,1,13,12
60,20,40,10,0,40,70,50,10,30,2,0,12,13
90,10,80,50,30,60,60,30,10,10,1,0,16,19
40,90,0,40,20,30,10,20,40,90,5,0,12,4
50,70,70,30,20,40,90,80,30,50,3,0,16,24
90,70,90,40,70,30,100,20,90,30,3,1,14,20
20,10,70,30,10,80,50,60,30,10,1,0,16,23
80,80,0,70,40,40,10,30,40,20,1,0,17,3
40,50,90,80,50,30,60,70,50,30,2,0,20,25
0,0,40,60,0,40,60,50,30,90,5,0,13,13
60,100,50,50,90,80,10,20,60,0,1,1,11,12
