Gesamtgewicht_Kg,Volumen_cbm,Warenwert_in_EUR,Gefahrgut,Startort,Destination,Termin_Destination,Entfernung_in_Km,LCL_LKW,FCL_LKW,Flugzeug,Seeeschiff
3196,4.602,35125,1,1,10,0,11350,0,0,0,1
9080.5,4.437,93415,0,2,8,1,900,0,1,0,0
209,3.848,6900,1,2,6,1,2700,0,0,1,0
7670,6.921,81760,1,4,6,0,2500,0,0,0,1
7617,5.376,79570,0,1,7,0,1650,0,0,0,1
10639,6.678,109415,0,2,8,0,900,0,1,0,0
12137.5,6.539,125255,0,5,7,0,1650,0,0,0,1
7690,6.093,79860,1,5,8,1,650,0,1,0,0
10713.5,7.989,112275,1,3,7,1,1100,0,1,0,0
13693.5,8.033,140545,1,1,8,0,850,0,1,0,0
13601,6.742,138725,0,5,10,0,11400,0,0,0,1
204.5,3.967,5820,1,3,7,1,1100,0,1,0,0
6158.5,5.255,64655,0,3,6,0,2200,0,0,0,1
146.5,2.74,4400,1,1,10,0,11350,0,0,0,1
152,3.007,5745,1,4,7,1,1300,0,0,1,0
9083,4.883,93750,0,2,6,1,2700,0,0,1,0
12184.5,7.11,125525,1,4,7,0,1300,0,0,0,1
15106.5,6.847,154355,0,5,6,0,2200,0,0,0,1
12130,6.712,124830,1,3,10,0,12000,0,0,0,1
15219.5,8.57,156405,0,3,9,0,550,0,1,0,0
7713,6.988,82060,1,2,6,0,2700,0,0,0,1
12130,6.181,123780,0,4,8,0,800,0,1,0,0
3183,3.842,35120,0,1,7,0,1650,0,0,0,1
13597.5,6.982,138700,0,3,8,1,1100,0,1,0,0
10702.5,7.686,111190,0,5,10,0,11400,0,0,0,1
9232,6.391,96570,1,3,9,1,550,0,1,0,0
7568.5,4.167,77765,0,4,9,0,260,1,0,0,0
10717.5,7.648,111050,1,2,10,1,11000,0,0,1,0
12223.5,7.601,126145,1,4,10,1,12000,0,0,1,0
15139,7.742,155840,0,5,7,1,1650,0,0,1,0
12207.5,7.371,126240,1,1,10,1,11350,0,0,1,0
93,1.449,2810,0,5,8,1,650,1,0,0,0
12126,6.184,125180,1,5,6,1,2200,0,0,1,0
4654.5,4.927,50860,1,1,6,0,2000,0,0,0,1
6090.5,4.224,63960,0,3,6,1,2200,0,0,1,0
10753.5,8.05,112675,1,4,7,1,1300,0,0,1,0
13763.5,9.051,141885,1,1,9,0,650,0,1,0,0
13765,9.061,142185,1,4,7,1,1300,0,0,1,0
6211,5.106,65375,1,3,8,0,1100,0,1,0,0
1650,3.96,20600,1,4,6,0,2500,0,0,0,1
10667,6.803,109775,1,3,6,0,2200,0,0,0,1
13652,8.003,139475,0,3,10,1,12000,0,0,1,0
4616.5,3.771,49455,0,5,6,1,2200,0,0,1,0
15152,8.094,155845,0,5,9,0,450,0,1,0,0
9237.5,7.367,97225,1,1,9,0,650,0,1,0,0
3164.5,3.703,35000,0,4,7,1,1300,0,0,1,0
3219,4.9,35730,0,5,9,1,450,1,0,0,0
15110.5,6.563,154220,1,5,9,0,450,0,1,0,0
13709,8.49,140630,0,3,10,0,12000,0,0,0,1
1687.5,3.987,20860,1,1,10,0,11350,0,0,0,1
12204,8.067,127025,0,4,9,0,260,0,1,0,0
4660,4.977,50410,1,2,9,1,400,0,1,0,0
3141.5,3.788,35200,1,2,8,1,900,0,1,0,0
176.5,3.078,4475,1,5,6,1,2200,0,0,1,0
15258,9.341,157515,0,3,6,0,2200,0,0,0,1
3188,4.254,36430,1,4,7,0,1300,0,0,0,1
12238,8.023,126610,1,2,9,1,400,0,1,0,0
4657,4.937,50310,1,4,9,0,260,0,1,0,0
4637.5,4.785,49100,0,3,8,0,1100,1,0,0,0
6206.5,5.964,66630,1,5,7,0,1650,0,0,0,1
12205,7.157,127035,1,4,9,0,260,0,1,0,0
13656.5,7.766,139485,1,3,8,0,1100,0,1,0,0
12209,7.134,126035,1,5,6,0,2200,0,0,0,1
6154,5.572,65135,0,3,7,0,1100,1,0,0,0
4658,4.812,49820,1,5,9,1,450,0,1,0,0
15185.5,7.959,154825,1,5,6,1,2200,0,0,1,0
3179,3.943,35030,0,2,7,1,1200,1,0,0,0
12127.5,5.56,122690,0,2,6,1,2700,0,0,1,0
13670.5,7.871,139465,0,5,8,1,650,0,1,0,0
9119,5.404,93135,1,4,9,0,260,0,1,0,0
9190.5,5.853,95340,1,1,10,0,11350,0,0,0,1
207.5,3.777,7185,1,3,9,0,550,0,1,0,0
4681,4.67,49765,0,3,6,1,2200,0,0,1,0
7709,6.542,81110,1,1,10,1,11350,0,0,1,0
12181,6.958,125555,0,3,10,1,12000,0,0,1,0
6194,5.752,66240,1,5,10,1,11400,0,0,1,0
4644.5,4.974,49225,0,1,6,1,2000,0,0,1,0
12202.5,7.384,127110,1,4,9,1,260,0,1,0,0
1649.5,3.345,19340,0,5,9,0,450,1,0,0,0
9181.5,6.461,95700,1,3,8,1,1100,0,1,0,0
13705.5,8.017,140010,1,3,7,1,1100,0,1,0,0
191,3.332,4615,0,5,7,0,1650,0,0,0,1
12104,6.131,123415,0,3,10,1,12000,0,0,1,0
13723.5,8.614,141705,0,1,6,1,2000,0,0,1,0
13718.5,8.439,141060,0,2,6,1,2700,0,0,1,0
1677.5,3.875,20685,1,4,10,0,12000,0,0,0,1
4645,4.66,50015,0,4,9,0,260,1,0,0,0
15154,7.553,155340,0,2,8,0,900,0,1,0,0
226,4.139,6965,1,4,6,0,2500,0,0,0,1
1631,3.051,19560,1,5,7,0,1650,0,0,0,1
165.5,2.841,5260,1,4,10,0,12000,0,0,0,1
10630,6.144,108365,0,5,10,0,11400,0,0,0,1
15218,9.104,157360,1,3,10,0,12000,0,0,0,1
1687,4.16,20285,0,3,7,0,1100,1,0,0,0
12203.5,7.702,126140,0,2,9,1,400,0,1,0,0
10651,7.08,110595,1,5,7,0,1650,0,0,0,1
6131.5,4.207,63670,0,2,8,0,900,1,0,0,0
7685.5,6.509,81180,0,2,8,1,900,0,1,0,0
10736,7.952,111685,1,4,9,1,260,0,1,0,0
13629,7.171,139980,0,4,8,1,800,0,1,0,0
1658.5,4.179,20035,1,4,9,0,260,0,1,0,0
3170,4.738,35370,0,5,9,1,450,1,0,0,0
12100.5,6.272,123650,1,4,6,0,2500,0,0,0,1
15193,8.8,156710,1,5,8,0,650,0,1,0,0
3156.5,3.227,33920,1,1,8,1,850,0,1,0,0
15133.5,7.962,155970,0,2,6,1,2700,0,0,1,0
3155.5,4.008,34345,0,1,7,1,1650,0,0,1,0
6114.5,3.96,64410,0,2,8,0,900,1,0,0,0
13749,9.45,142580,1,4,8,0,800,0,1,0,0
109.5,2.051,4690,0,2,8,1,900,1,0,0,0
153.5,2.905,5545,1,4,8,1,800,0,1,0,0
3122.5,2.963,34425,0,2,9,1,400,1,0,0,0
9102.5,5.126,94750,0,3,8,1,1100,0,1,0,0
10653.5,6.874,110140,0,1,8,1,850,0,1,0,0
1684.5,4.17,19760,1,5,7,0,1650,0,0,0,1
15154.5,7.401,155250,1,1,10,1,11350,0,0,1,0
4608,3.869,48320,0,1,7,0,1650,0,0,0,1
4662,5.535,50410,1,4,10,1,12000,0,0,1,0
3167.5,4.244,35005,0,4,8,0,800,1,0,0,0
7582.5,4.383,77930,0,3,9,1,550,1,0,0,0
3131,4.027,34775,0,1,10,0,11350,0,0,0,1
13739,8.564,142120,0,2,7,0,1200,0,1,0,0
15157.5,7.925,154110,1,2,8,0,900,0,1,0,0
137,2.422,4180,0,3,10,0,12000,0,0,0,1
13627.5,6.749,138790,1,1,6,0,2000,0,0,0,1
10749,8.131,112100,1,2,7,1,1200,0,1,0,0
10580,5.225,108095,0,1,7,0,1650,0,0,0,1
4571.5,3.18,47625,1,2,7,1,1200,0,1,0,0
9148,5.224,95090,0,2,6,0,2700,0,0,0,1
3150.5,3.487,34850,0,3,7,1,1100,1,0,0,0
13615.5,7.09,139030,0,2,6,1,2700,0,0,1,0
13654.5,8.287,140760,1,1,7,1,1650,0,0,1,0
206,4.329,6245,0,2,6,1,2700,0,0,1,0
9119.5,5.025,94005,0,5,10,0,11400,0,0,0,1
6200,5.444,66145,1,1,9,1,650,0,1,0,0
3165.5,3.511,34800,0,5,7,1,1650,0,0,1,0
3174.5,3.929,35735,1,5,7,0,1650,0,0,0,1
7633,5.41,79800,0,4,10,0,12000,0,0,0,1
3175,4.258,34455,0,3,6,1,2200,0,0,1,0
4636.5,4.46,49820,0,2,9,1,400,1,0,0,0
15127.5,7.58,153950,0,4,9,1,260,0,1,0,0
3102,2.97,33655,1,3,10,1,12000,0,0,1,0
12238,8.202,127425,1,1,6,0,2000,0,0,0,1
10756.5,8.04,112255,1,2,10,0,11000,0,0,0,1
3134.5,3.193,33310,1,1,8,1,850,0,1,0,0
7675.5,5.958,79850,1,1,8,0,850,0,1,0,0
13600.5,7.175,138875,0,3,9,0,550,0,1,0,0
6172.5,5.268,66275,0,2,7,0,1200,1,0,0,0
4668,5.515,49995,1,1,6,0,2000,0,0,0,1
15148,7.6,155075,1,3,6,0,2200,0,0,0,1
137,2.844,5570,1,4,10,1,12000,0,0,1,0
15236,8.571,156995,1,2,9,0,400,0,1,0,0
6174,4.89,64560,1,2,9,0,400,0,1,0,0
13618,6.732,139780,0,5,10,1,11400,0,0,1,0
9169.5,6.475,95330,0,1,10,1,11350,0,0,1,0
13684.5,8.067,140175,0,1,7,1,1650,0,0,1,0
15223,8.213,155680,0,1,8,0,850,0,1,0,0
7665.5,5.988,80185,0,3,9,0,550,0,1,0,0
1670.5,3.842,19820,0,5,6,0,2200,0,0,0,1
9121.5,4.758,93870,0,1,10,1,11350,0,0,1,0
1655,3.767,19845,1,5,7,0,1650,0,0,0,1
12105,6.1,123600,0,5,10,1,11400,0,0,1,0
13669,7.942,141540,1,3,8,0,1100,0,1,0,0
7596.5,4.752,77830,0,3,8,1,1100,1,0,0,0
6185,5.417,65550,0,1,10,0,11350,0,0,0,1
136,2.753,4230,0,3,6,1,2200,0,0,1,0
226,4.068,6580,0,5,8,1,650,1,0,0,0
15119.5,6.762,154455,0,1,6,1,2000,0,0,1,0
227.5,3.994,6545,0,3,6,1,2200,0,0,1,0
12140.5,6.445,124905,0,1,9,0,650,0,1,0,0
3084.5,2.551,33070,1,3,9,0,550,0,1,0,0
4689,5.363,50320,0,2,7,1,1200,1,0,0,0
4608.5,3.934,48840,0,1,8,0,850,1,0,0,0
71.5,1.162,2555,0,5,10,1,11400,0,0,1,0
4641.5,4.569,48300,1,2,6,1,2700,0,0,1,0
145,2.952,5020,0,4,9,1,260,1,0,0,0
9136.5,5.181,94355,0,1,9,0,650,0,1,0,0
15114,7.479,154080,0,2,6,1,2700,0,0,1,0
6174.5,4.643,64015,0,5,8,1,650,1,0,0,0
7629.5,5.464,79495,0,1,7,0,1650,0,0,0,1
15111.5,6.57,153900,1,5,7,1,1650,0,0,1,0
13602.5,6.462,137555,0,4,9,0,260,0,1,0,0
13614,7.101,139515,0,1,7,0,1650,0,0,0,1
10647.5,6.877,110115,0,3,10,1,12000,0,0,1,0
13625,7.276,139625,1,2,8,0,900,0,1,0,0
10682.5,7.084,110480,0,2,6,1,2700,0,0,1,0
3218,4.447,36175,1,1,8,1,850,0,1,0,0
13711.5,7.905,140310,1,1,6,1,2000,0,0,1,0
6056.5,3.372,63005,0,1,10,0,11350,0,0,0,1
4654.5,4.91,49050,1,3,8,1,1100,0,1,0,0
4722,6.201,51510,1,5,7,0,1650,0,0,0,1
10682,7.168,110660,1,3,6,0,2200,0,0,0,1
9122.5,4.832,93900,0,5,9,1,450,0,1,0,0
15188.5,8.733,155780,0,4,10,1,12000,0,0,1,0
7687.5,6.526,80070,0,1,8,1,850,0,1,0,0
13693,8.939,140600,1,5,7,0,1650,0,0,0,1
10657.5,7.063,110910,1,4,10,1,12000,0,0,1,0
4566.5,3.555,47410,0,2,7,1,1200,1,0,0,0
15113,7.198,154800,1,1,6,1,2000,0,0,1,0
10601.5,5.982,108665,0,1,10,0,11350,0,0,0,1
1662,3.929,20130,0,4,6,0,2500,0,0,0,1
4636.5,4.896,49140,0,1,7,0,1650,0,0,0,1
12133,6.391,124535,1,4,8,1,800,0,1,0,0
7627.5,5.752,79455,0,4,9,1,260,0,1,0,0
1658.5,3.686,20100,1,5,10,0,11400,0,0,0,1
1710,4.683,21000,1,2,8,1,900,0,1,0,0
13596,6.796,138180,0,1,7,1,1650,0,0,1,0
7637,5.41,79795,0,2,6,0,2700,0,0,0,1
6116,4.156,63325,0,5,10,1,11400,0,0,1,0
231.5,3.744,6480,1,1,6,0,2000,0,0,0,1
10576.5,5.478,108140,0,3,10,0,12000,0,0,0,1
1644,3.338,20630,1,5,8,0,650,0,1,0,0
10666,6.837,110025,0,2,8,1,900,0,1,0,0
12212.5,7.371,125770,0,2,9,1,400,0,1,0,0
15178.5,8.419,156010,0,1,10,1,11350,0,0,1,0
6134.5,4.309,62945,1,3,10,0,12000,0,0,0,1
151,2.703,4940,0,5,6,1,2200,0,0,1,0
9212.5,6.83,96250,1,4,10,0,12000,0,0,0,1
7585,4.697,77985,1,5,9,1,450,0,1,0,0
1629.5,3.051,18750,1,4,9,1,260,0,1,0,0
1732.5,5.315,22430,0,5,8,1,650,1,0,0,0
3212,4.366,35940,0,3,7,0,1100,1,0,0,0
7625.5,5.38,80075,1,2,6,1,2700,0,0,1,0
12153,6.712,125645,1,4,6,0,2500,0,0,0,1
12067,5.431,122765,0,2,7,0,1200,0,1,0,0
13684,7.506,139300,1,1,9,0,650,0,1,0,0
160,3.203,4950,1,4,9,0,260,0,1,0,0
6113.5,4.488,63865,0,4,8,0,800,1,0,0,0
1702.5,4.758,21070,1,2,7,1,1200,0,1,0,0
15093.5,6.915,153600,0,3,7,1,1100,0,1,0,0
9204,6.641,95870,1,1,6,1,2000,0,0,1,0
1633.5,3.22,19450,1,1,9,1,650,0,1,0,0
3098.5,2.811,33075,1,2,7,0,1200,0,1,0,0
15198.5,8.297,155575,0,2,10,1,11000,0,0,1,0
13653,7.401,139735,1,5,10,0,11400,0,0,0,1
10680.5,7.442,111185,1,2,8,1,900,0,1,0,0
7683.5,5.407,79300,1,1,8,1,850,0,1,0,0
15218,8.317,155920,1,3,8,1,1100,0,1,0,0
6149.5,4.464,63445,1,4,10,0,12000,0,0,0,1
3185.5,3.778,34445,1,3,8,1,1100,0,1,0,0
12229.5,7.357,126200,0,3,9,1,550,0,1,0,0
3175.5,3.609,34390,0,2,9,1,400,1,0,0,0
1630,3.186,19825,1,2,6,0,2700,0,0,0,1
15125.5,7.144,153785,1,4,10,1,12000,0,0,1,0
12152,6.631,124635,0,3,9,1,550,0,1,0,0
12197,7.796,126535,1,3,10,0,12000,0,0,0,1
1622,3.592,19705,0,1,9,0,650,1,0,0,0
7692.5,7.225,81680,0,3,8,0,1100,0,1,0,0
175,3.118,5380,0,5,10,0,11400,0,0,0,1
3144,3.656,35230,0,3,9,0,550,1,0,0,0
1715,4.889,22060,1,2,6,0,2700,0,0,0,1
1716,4.697,21090,1,5,10,0,11400,0,0,0,1
6167.5,4.758,64020,1,4,6,1,2500,0,0,1,0
203,4.058,6030,0,1,7,1,1650,0,0,1,0
204.5,3.775,5790,0,4,7,0,1300,0,0,0,1
7629.5,4.998,78210,1,1,10,0,11350,0,0,0,1
3127,3.5,33995,0,5,8,1,650,1,0,0,0
15230.5,9.017,156445,1,5,10,1,11400,0,0,1,0
147,3.359,5625,0,3,10,0,12000,0,0,0,1
10712,7.503,110875,0,3,10,1,12000,0,0,1,0
1660,4.237,19475,1,3,9,0,550,0,1,0,0
15226,8.598,156390,0,1,9,1,650,0,1,0,0
3133.5,3.673,34240,0,1,8,0,850,1,0,0,0
9212,6.086,95755,0,2,7,1,1200,0,1,0,0
1686,4.535,20510,0,5,7,1,1650,0,0,1,0
1573.5,2.662,18415,0,3,9,0,550,1,0,0,0
1642.5,4.227,20265,1,1,10,1,11350,0,0,1,0
7700,5.931,80230,1,1,9,1,650,0,1,0,0
1682,4.341,21590,0,3,6,0,2200,0,0,0,1
6131.5,4.724,64355,0,3,7,1,1100,1,0,0,0
12255.5,8.52,127815,0,2,6,0,2700,0,0,0,1
13621,6.911,139580,0,3,10,1,12000,0,0,1,0
6136.5,3.981,63110,0,1,10,1,11350,0,0,1,0
3224.5,5.43,37320,1,1,7,1,1650,0,0,1,0
9162.5,6.167,94745,1,3,6,1,2200,0,0,1,0
4606,3.761,48650,1,1,6,1,2000,0,0,1,0
280,4.595,8470,1,1,8,0,850,0,1,0,0
15213.5,8.946,156210,1,2,9,0,400,0,1,0,0
4652,4.863,48650,1,5,6,0,2200,0,0,0,1
9222,7.073,97030,0,2,6,0,2700,0,0,0,1
10642.5,6.269,109125,1,4,8,0,800,0,1,0,0
15169,8.121,155040,0,4,7,1,1300,0,0,1,0
207,4.21,6000,1,3,8,0,1100,0,1,0,0
10643,6.63,109640,1,5,7,1,1650,0,0,1,0
6197.5,5.194,64975,1,3,8,0,1100,0,1,0,0
12149,6.58,124375,1,3,10,0,12000,0,0,0,1
6205.5,5.589,66490,1,5,8,0,650,0,1,0,0
1646,4.251,19580,0,5,6,0,2200,0,0,0,1
12117,5.799,124075,0,2,10,1,11000,0,0,1,0
9158.5,6.039,96170,1,2,6,0,2700,0,0,0,1
15143,7.546,155245,1,5,8,1,650,0,1,0,0
3126.5,3.338,34225,0,2,6,1,2700,0,0,1,0
1584.5,2.737,17670,1,1,8,0,850,0,1,0,0
12252.5,8.104,127820,1,3,7,1,1100,0,1,0,0
12158,6.509,123315,0,2,8,1,900,0,1,0,0
6211,5.88,66400,1,3,7,1,1100,0,1,0,0
1610.5,2.845,17925,1,2,9,1,400,0,1,0,0
151,2.956,4515,1,3,9,1,550,0,1,0,0
7582.5,4.329,78570,0,4,7,0,1300,0,0,0,1
6159,4.808,65520,1,1,9,1,650,0,1,0,0
7736.5,7.215,82205,0,5,8,0,650,0,1,0,0
6195.5,6.066,65900,0,3,7,0,1100,1,0,0,0
6138,4.579,64350,0,3,8,0,1100,1,0,0,0
15171.5,7.85,156000,0,4,6,0,2500,0,0,0,1
9155.5,5.866,94895,1,3,6,1,2200,0,0,1,0
12122,5.681,123930,1,2,10,0,11000,0,0,0,1
15158,8.206,155455,0,5,10,1,11400,0,0,1,0
4583,3.612,48320,1,5,6,1,2200,0,0,1,0
3166.5,4.538,36080,0,5,9,0,450,1,0,0,0
7684,6.59,80365,0,4,7,1,1300,0,0,1,0
10620.5,6.77,109570,0,4,9,1,260,0,1,0,0
4639.5,4.933,49550,0,3,10,0,12000,0,0,0,1
9169,6.904,96685,0,3,8,0,1100,0,1,0,0
4656.5,5.305,49610,1,1,6,1,2000,0,0,1,0
6150.5,4.846,65390,1,4,10,0,12000,0,0,0,1
1710.5,4.217,20675,1,5,10,1,11400,0,0,1,0
9159.5,5.832,95810,1,5,8,0,650,0,1,0,0
10613,6.742,109280,0,4,9,1,260,0,1,0,0
13668,7.779,141805,1,5,9,1,450,0,1,0,0
3197,4.325,35895,1,5,7,0,1650,0,0,0,1
1648.5,4.585,20080,0,3,6,0,2200,0,0,0,1
10707,8.229,111645,1,4,9,0,260,0,1,0,0
10677.5,6.621,109540,0,2,8,0,900,0,1,0,0
6107,3.69,63660,0,5,9,0,450,1,0,0,0
185,3.784,5885,1,3,10,0,12000,0,0,0,1
10693.5,7.986,111390,0,5,10,1,11400,0,0,1,0
15212.5,8.057,155630,1,5,10,1,11400,0,0,1,0
3214.5,4.386,36025,1,1,6,0,2000,0,0,0,1
4641,4.623,49825,1,3,6,0,2200,0,0,0,1
101.5,2.01,3125,1,4,8,0,800,0,1,0,0
7647.5,6.319,80700,1,3,8,0,1100,0,1,0,0
3196.5,4.173,34850,1,5,7,1,1650,0,0,1,0
6192,5.809,65620,1,3,10,0,12000,0,0,0,1
1703,4.583,20465,0,2,6,1,2700,0,0,1,0
9235.5,6.928,96735,1,2,6,1,2700,0,0,1,0
13693.5,7.956,140090,0,5,7,0,1650,0,0,0,1
190,3.561,6055,1,1,7,0,1650,0,0,0,1
15160,7.823,155480,0,1,10,0,11350,0,0,0,1
10738,8.175,112155,0,5,7,1,1650,0,0,1,0
235.5,3.913,6130,0,5,9,0,450,1,0,0,0
9197.5,6.4,96225,1,1,7,0,1650,0,0,0,1
13717,9.196,141485,1,3,7,0,1100,0,1,0,0
9172.5,6.038,97400,1,4,6,0,2500,0,0,0,1
6124,4.379,64415,0,3,8,0,1100,1,0,0,0
10676.5,7.13,111100,0,3,6,1,2200,0,0,1,0
4700.5,6.516,50975,0,2,7,0,1200,1,0,0,0
15164,7.594,154625,1,4,7,0,1300,0,0,0,1
15187,7.415,154625,1,1,10,1,11350,0,0,1,0
13598,6.401,138845,1,4,9,0,260,0,1,0,0
10573.5,5.421,107695,1,2,7,0,1200,0,1,0,0
1705.5,4.281,20365,0,3,10,0,12000,0,0,0,1
15159.5,7.54,154985,1,3,10,0,12000,0,0,0,1
82.5,1.675,3485,1,5,9,1,450,0,1,0,0
13666,7.992,140300,1,1,7,0,1650,0,0,0,1
12164,5.776,124150,0,1,8,1,850,0,1,0,0
141.5,2.513,4420,1,2,9,0,400,0,1,0,0
3170.5,4.558,35570,1,5,10,1,11400,0,0,1,0
13654,7.672,138760,1,4,10,1,12000,0,0,1,0
7637,5.82,78890,0,4,10,1,12000,0,0,1,0
9126.5,5.847,94880,0,5,9,1,450,0,1,0,0
10682,6.807,110110,0,2,9,0,400,0,1,0,0
4601.5,4.106,49150,0,5,6,0,2200,0,0,0,1
3184.5,5.312,36585,1,2,6,0,2700,0,0,0,1
9225,6.13,96140,1,3,8,0,1100,0,1,0,0
7622,5.367,78850,1,1,8,1,850,0,1,0,0
3208,4.498,35640,1,5,6,1,2200,0,0,1,0
122.5,2.503,3870,0,4,6,0,2500,0,0,0,1
6155.5,4.792,65135,1,3,6,1,2200,0,0,1,0
1689,4.021,20045,1,2,7,1,1200,0,1,0,0
10683.5,6.462,109280,0,4,8,1,800,0,1,0,0
13622.5,7.249,139580,0,1,8,0,850,0,1,0,0
4699.5,5.647,50095,1,3,10,1,12000,0,0,1,0
3216.5,4.731,35700,1,5,10,1,11400,0,0,1,0
13699,8.838,140760,0,2,7,1,1200,0,1,0,0
1577,2.554,18365,0,5,10,1,11400,0,0,1,0
205,3.439,6270,1,4,9,0,260,0,1,0,0
9106,5.062,93870,0,4,9,0,260,0,1,0,0
6147,4.991,64430,0,2,6,1,2700,0,0,1,0
134.5,2.784,5270,1,3,8,0,1100,0,1,0,0
12136.5,6.444,125350,0,1,8,1,850,0,1,0,0
15132,7.266,154030,0,1,7,0,1650,0,0,0,1
1755.5,4.876,22610,1,1,6,0,2000,0,0,0,1
15152.5,7.529,155405,1,5,7,0,1650,0,0,0,1
1644.5,3.136,18800,0,4,9,0,260,1,0,0,0
7659,6.147,79585,0,1,7,0,1650,0,0,0,1
4665.5,4.623,48930,0,5,7,0,1650,0,0,0,1
15135.5,7.557,154885,0,2,9,1,400,0,1,0,0
126.5,3.163,4390,0,1,8,1,850,1,0,0,0
12125,6.819,124515,0,1,7,1,1650,0,0,1,0
4636.5,4.396,50215,0,2,7,0,1200,1,0,0,0
15089,6.499,152880,0,1,7,0,1650,0,0,0,1
7567.5,4.43,78150,0,3,10,0,12000,0,0,0,1
15165,8.05,156230,1,3,7,1,1100,0,1,0,0
3128.5,2.984,33010,0,1,10,1,11350,0,0,1,0
209.5,3.23,5635,0,1,10,1,11350,0,0,1,0
3183.5,3.89,34150,0,2,9,1,400,1,0,0,0
7647.5,6.309,80045,0,1,7,1,1650,0,0,1,0
7625,5.995,79940,0,5,8,1,650,0,1,0,0
125,2.767,4550,0,4,9,1,260,1,0,0,0
166.5,3.368,6250,1,1,7,0,1650,0,0,0,1
171.5,3.71,6775,0,1,9,0,650,1,0,0,0
1645,3.761,19680,0,2,6,1,2700,0,0,1,0
13662,7.736,139735,1,1,6,1,2000,0,0,1,0
10716,7.618,110345,1,2,9,0,400,0,1,0,0
7597.5,4.954,78015,0,5,6,1,2200,0,0,1,0
12177.5,7.076,126100,1,5,6,1,2200,0,0,1,0
13701,8.081,140235,0,5,8,1,650,0,1,0,0
10670.5,6.185,108575,0,2,10,0,11000,0,0,0,1
13621.5,6.803,139090,1,3,6,1,2200,0,0,1,0
3202.5,4.947,36330,0,3,10,0,12000,0,0,0,1
6179,5.278,65250,0,3,6,1,2200,0,0,1,0
1734.5,4.497,21545,1,4,6,0,2500,0,0,0,1
15250.5,8.895,157610,1,4,10,0,12000,0,0,0,1
13611,7.07,139135,1,3,9,1,550,0,1,0,0
1606.5,2.767,19175,1,4,9,1,260,0,1,0,0
4623.5,4.471,49655,0,5,8,1,650,1,0,0,0
9097,4.907,94630,0,4,9,1,260,0,1,0,0
12125.5,5.914,123750,0,3,10,1,12000,0,0,1,0
195.5,3.48,6710,0,5,7,0,1650,0,0,0,1
12121.5,5.978,123815,0,2,10,1,11000,0,0,1,0
1668.5,3.791,20020,1,2,9,0,400,0,1,0,0
115,2.328,3770,0,5,8,0,650,1,0,0,0
15118,7.144,154270,0,2,6,0,2700,0,0,0,1
4648,5.079,50130,1,4,7,0,1300,0,0,0,1
13656.5,8.283,141050,0,1,8,1,850,0,1,0,0
15095.5,6.905,153555,0,2,10,0,11000,0,0,0,1
9186.5,6.472,95285,1,3,7,0,1100,0,1,0,0
3119.5,3.331,34490,0,5,6,1,2200,0,0,1,0
7650.5,5.069,79300,0,3,7,0,1100,0,1,0,0
3175.5,4.477,35990,0,3,10,1,12000,0,0,1,0
1610,3.575,19775,0,1,9,1,650,1,0,0,0
4674,5.302,50300,0,4,8,0,800,1,0,0,0
1614,3.267,18975,0,5,7,0,1650,0,0,0,1
9211.5,6.272,95655,0,4,10,1,12000,0,0,1,0
